,property_type,region,area_m2,price_usd,lat,lon,state
10789,house,South,120.0,89956.44,-25.392202,-49.255001,Paraná
10791,apartment,South,124.0,282494.79,-25.392202,-49.255001,Paraná
10792,apartment,South,130.0,104160.09,-25.429785,-49.261333,Paraná
10793,apartment,South,92.0,113629.19,-25.431149,-49.282032,Paraná
10794,apartment,South,110.0,236847.03,-25.4370981,-49.3272514,Paraná
10795,apartment,South,242.0,358859.13,-25.4209920187,-49.2418524027,Paraná
10796,house,South,129.0,157818.31,-25.766428,-48.538731,Paraná
10797,house,South,187.0,246196.57,-25.484133,-49.269642,Paraná
10798,house,South,210.0,277760.24,-25.484133,-49.269642,Paraná
10799,apartment,South,88.0,142036.48,-25.398558,-49.241066,Paraná
10800,apartment,South,67.0,84748.43,-25.503553,-49.291748,Paraná
10801,apartment,South,167.0,185670.59,-25.405325,-49.261333,Paraná
10802,apartment,South,119.0,185690.7,-25.407746,-49.252569,Paraná
10803,house,South,100.0,90335.2,-25.63549,-48.468731,Paraná
10804,apartment,South,242.0,473454.95,-25.423748,-49.301891,Paraná
10805,house,South,120.0,92991.32,-25.766428,-48.538731,Paraná
10806,house,South,199.0,196592.39,-25.4548957,-49.2397677,Paraná
10807,house,South,174.0,198152.65,-25.4280798,-49.328385,Paraná
10808,apartment,South,56.0,76452.59,-25.503553,-49.291748,Paraná
10809,apartment,South,61.0,135742.37,-25.444273,-49.246132,Paraná
10811,apartment,South,89.0,156025.71,-25.541676,-49.215744,Paraná
10812,apartment,South,110.0,171628.28,-25.398558,-49.241066,Paraná
10813,apartment,South,63.0,98296.19,-25.398558,-49.241066,Paraná
10814,apartment,South,93.0,118579.54,-25.444273,-49.246132,Paraná
10815,apartment,South,79.0,87374.39,-25.444273,-49.246132,Paraná
10816,apartment,South,75.0,81133.37,-25.366337,-49.263889,Paraná
10817,house,South,132.0,162266.74,-25.3793324,-49.257678,Paraná
10818,apartment,South,80.0,155401.61,-25.401939,-49.251198,Paraná
10819,apartment,South,60.0,112338.51,-25.401939,-49.251198,Paraná
10820,house,South,198.0,374461.71,-25.446005,-49.283737,Paraná
10822,house,South,129.0,145103.91,-25.373734,-49.210678,Paraná
10823,house,South,129.0,143543.65,-25.373734,-49.210678,Paraná
10824,house,South,129.0,146664.17,-25.373734,-49.210678,Paraná
10825,house,South,129.0,149784.68,-25.373734,-49.210678,Paraná
10827,house,South,140.0,187230.85,-25.482933,-49.25631,Paraná
10828,house,South,129.0,149784.68,-25.373734,-49.210678,Paraná
10830,apartment,South,54.0,118579.54,-25.429785,-49.261333,Paraná
10831,apartment,South,128.0,135723.75,-25.46101,-49.330349,Paraná
10832,apartment,South,95.0,118423.51,-25.438248,-49.286678,Paraná
10833,house,South,89.0,74892.34,-25.517637,-49.246132,Paraná
10834,house,South,232.0,171628.28,-25.51634,-49.271469,Paraná
10835,apartment,South,80.0,152036.75,-25.461021,-49.281609,Paraná
10836,house,South,203.0,187230.85,-25.469112,-49.276539,Paraná
10837,apartment,South,113.0,240591.64,-25.436501,-49.241051,Paraná
10839,apartment,South,143.0,273357.04,-25.436501,-49.241051,Paraná
10840,apartment,South,108.0,176309.05,-25.405325,-49.261333,Paraná
10841,apartment,South,103.0,172122.88,-25.458565,-49.290428,Paraná
10842,apartment,South,103.0,234084.44,-25.458565,-49.290428,Paraná
10844,apartment,South,143.0,166117.45,-25.416338,-49.260391,Paraná
10845,apartment,South,85.0,97818.76,-25.434954,-49.297813,Paraná
10846,apartment,South,82.0,96734.38,-25.461021,-49.281609,Paraná
10847,apartment,South,190.0,187404.77,-25.438286,-49.284081,Paraná
10848,apartment,South,79.0,79443.61,-25.4682326,-49.2996972,Paraná
10849,apartment,South,64.0,92960.43,-25.454536,-49.220367,Paraná
10850,apartment,South,54.0,77487.67,-25.454536,-49.220367,Paraná
10851,apartment,South,86.0,92991.32,-25.449423,-49.283409,Paraná
10852,apartment,South,82.0,113898.77,-25.492073,-49.286678,Paraná
10853,apartment,South,132.0,205920.86,-25.454988,-49.322178,Paraná
10854,apartment,South,61.0,92276.1,-25.454988,-49.322178,Paraná
10855,apartment,South,91.0,105785.43,-25.437077,-49.257534,Paraná
10856,apartment,South,129.0,274410.22,-25.461021,-49.281609,Paraná
10857,apartment,South,150.0,312352.55,-25.461021,-49.281609,Paraná
10858,apartment,South,113.0,237159.08,-25.443838,-49.282368,Paraná
10859,house,South,185.0,202521.37,-25.541979,-49.216557,Paraná
10860,apartment,South,60.0,78511.51,-25.484133,-49.269642,Paraná
10861,apartment,South,218.0,125342.63,-25.484133,-49.269642,Paraná
10862,apartment,South,159.0,430630.96,-25.44689,-49.327251,Paraná
10863,apartment,South,61.0,105161.33,-25.4327966,-49.2410668,Paraná
10864,apartment,South,99.0,202843.41,-25.460024,-49.295078,Paraná
10865,apartment,South,102.0,183486.23,-25.452608,-49.297081,Paraná
10866,apartment,South,172.0,305810.39,-25.435246,-49.241802,Paraná
10867,house,South,225.0,187230.85,-25.5614153,-54.5834732,Paraná
10868,apartment,South,120.0,92179.05,-25.5400271,-54.5737081,Paraná
10869,apartment,South,120.0,98274.35,-25.5400271,-54.5737081,Paraná
10870,apartment,South,154.0,133671.9,-25.539433,-54.580921,Paraná
10871,apartment,South,150.0,134519.12,-25.539433,-54.580921,Paraná
10872,house,South,197.0,176309.05,-25.5381561,-54.5707625,Paraná
10873,house,South,163.0,140423.14,-25.4890896,-54.5807884,Paraná
10874,house,South,245.0,162266.74,-25.4706339,-54.5883162,Paraná
10875,house,South,182.0,168507.77,-25.5015184,-54.5709904,Paraná
10876,apartment,South,107.0,116482.55,-25.268646,-54.106586,Paraná
10878,house,South,90.0,74892.34,-25.5342811,-54.5295373,Paraná
10879,house,South,202.0,162266.74,-25.5015184,-54.5709904,Paraná
10880,apartment,South,107.0,116482.55,-25.268646,-54.106586,Paraná
10881,apartment,South,120.0,249641.14,-25.465401,-49.284607,Paraná
10882,apartment,South,168.0,402546.33,-25.4672653,-49.2821787,Paraná
10883,apartment,South,120.0,292704.23,-25.4672653,-49.2821787,Paraná
10884,apartment,South,119.0,294576.54,-25.4672653,-49.2821787,Paraná
10885,apartment,South,189.0,385383.51,-25.4672653,-49.2821787,Paraná
10888,apartment,South,85.0,140423.14,-25.4741425,-49.2990812,Paraná
10889,apartment,South,80.0,141983.39,-25.4741425,-49.2990812,Paraná
10890,apartment,South,73.0,124820.57,-25.4741425,-49.2990812,Paraná
10891,apartment,South,135.0,355738.62,-25.4230068,-49.3085629,Paraná
10893,apartment,South,180.0,391624.53,-25.431437,-49.288849,Paraná
10894,apartment,South,125.0,288647.56,-25.44689,-49.327251,Paraná
10895,apartment,South,129.0,287087.31,-25.44689,-49.327251,Paraná
10896,apartment,South,222.0,468077.13,-25.437098,-49.327251,Paraná
10897,apartment,South,149.0,277725.76,-25.401939,-49.251198,Paraná
10898,apartment,South,104.0,230414.74,-25.471306,-49.291325,Paraná
10899,house,South,139.0,137302.62,-25.5317303,-54.5932192,Paraná
10900,apartment,South,73.0,84253.88,-25.462362,-49.301117,Paraná
10901,house,South,200.0,261499.09,-25.3626062,-49.2710794,Paraná
10902,house,South,100.0,90463.7,-25.479948,-49.535522,Paraná
10903,apartment,South,126.0,243226.92,-25.437098,-49.327251,Paraná
10904,apartment,South,128.0,249033.57,-25.471306,-49.291325,Paraná
10905,apartment,South,182.0,402546.33,-25.43668,-49.3264,Paraná
10906,apartment,South,95.0,135538.34,-25.43656,-49.306333,Paraná
10907,apartment,South,163.0,390064.28,-25.437098,-49.327251,Paraná
10908,house,South,220.0,468077.13,-25.415151,-49.229531,Paraná
10909,house,South,227.0,327653.99,-25.408554,-49.212002,Paraná
10911,apartment,South,72.0,92055.17,-25.405325,-49.261333,Paraná
10912,apartment,South,73.0,118579.54,-25.473375,-49.227139,Paraná
10913,apartment,South,74.0,160974.68,-25.446156,-49.266403,Paraná
10914,apartment,South,100.0,374461.71,-24.9735241,-53.4638055,Paraná
10915,apartment,South,66.0,82069.52,-25.429785,-49.261333,Paraná
10916,apartment,South,60.0,88386.38,-25.51634,-49.271469,Paraná
10917,apartment,South,97.0,115459.02,-25.3913641,-49.2638841,Paraná
10918,house,South,165.0,78012.85,-25.5167296,-54.5373411,Paraná
10919,house,South,183.0,118579.54,-25.4816369,-54.5093298,Paraná
10920,house,South,250.0,446233.53,-25.397966,-49.360897,Paraná
10921,apartment,South,143.0,274917.3,-25.436501,-49.241051,Paraná
10922,apartment,South,118.0,266179.86,-25.450003,-49.280674,Paraná
10923,apartment,South,144.0,376021.96,-25.450003,-49.280674,Paraná
10924,apartment,South,189.0,503338.95,-25.434446,-49.296555,Paraná
10925,apartment,South,145.0,433439.43,-25.4230068,-49.3085629,Paraná
10926,apartment,South,135.0,371653.24,-25.4230068,-49.3085629,Paraná
10927,apartment,South,120.0,248080.88,-25.465401,-49.284607,Paraná
10928,apartment,South,199.0,270548.58,-25.465401,-49.284607,Paraná
10929,apartment,South,73.0,127316.98,-25.4741425,-49.2990812,Paraná
10930,apartment,South,85.0,141359.29,-25.4741425,-49.2990812,Paraná
10931,apartment,South,117.0,287399.36,-25.405325,-49.261333,Paraná
10932,apartment,South,216.0,340760.15,-25.405325,-49.261333,Paraná
10933,apartment,South,88.0,151505.58,-25.398558,-49.241066,Paraná
10934,apartment,South,76.0,156025.71,-25.444273,-49.246132,Paraná
10935,apartment,South,96.0,113769.26,-25.430693,-49.280869,Paraná
10936,apartment,South,91.0,214535.35,-25.449423,-49.283409,Paraná
10937,house,South,152.0,186225.61,-25.492264,-49.301891,Paraná
10938,apartment,South,90.0,85221.89,-25.431011,-49.274124,Paraná
10940,apartment,South,64.0,84253.88,-25.459415,-49.307739,Paraná
10941,apartment,South,151.0,328278.1,-25.461021,-49.281609,Paraná
10942,apartment,South,122.0,249641.14,-25.440657,-49.352623,Paraná
10943,apartment,South,106.0,236847.03,-25.44689,-49.327251,Paraná
10944,apartment,South,129.0,253697.8,-25.4375544,-49.3358104,Paraná
10945,apartment,South,251.0,315483.99,-25.4375544,-49.3358104,Paraná
10948,apartment,South,60.0,93615.42,-25.437248,-49.348183,Paraná
10949,house,South,160.0,193471.88,-25.0896676,-50.1060931,Paraná
10950,house,South,150.0,140423.14,-25.2929784,-49.2266344,Paraná
10951,house,South,120.0,84253.88,-25.3543046,-49.2672231,Paraná
10952,apartment,South,83.0,148869.98,-25.432917,-49.290743,Paraná
10953,apartment,South,95.0,137302.62,-25.398558,-49.241066,Paraná
10954,apartment,South,65.0,104160.09,-25.459972,-49.306229,Paraná
10955,apartment,South,129.0,274293.2,-25.461021,-49.281609,Paraná
10956,apartment,South,150.0,312051.42,-25.461021,-49.281609,Paraná
10957,apartment,South,64.0,144760.65,-25.4296,-49.246132,Paraná
10958,apartment,South,203.0,340760.15,-25.437098,-49.327251,Paraná
10959,apartment,South,145.0,358859.13,-25.39723,-49.266403,Paraná
10960,apartment,South,107.0,199400.86,-25.410934,-49.25592,Paraná
10961,apartment,South,151.0,149784.68,-25.1061777,-50.1806781,Paraná
10962,apartment,South,200.0,218435.99,-25.4243285,-49.2157429,Paraná
10963,apartment,South,103.0,205163.81,-25.445921,-49.283775,Paraná
10964,apartment,South,61.0,87374.39,-25.492073,-49.286678,Paraná
10965,apartment,South,107.0,110472.82,-25.492264,-49.301891,Paraná
10966,apartment,South,79.0,123647.56,-25.423049,-49.3062285,Paraná
10967,house,South,133.0,140423.14,-25.558815,-54.5737622,Paraná
10968,house,South,133.0,134182.11,-25.558815,-54.5737622,Paraná
10969,apartment,South,75.0,81133.37,-25.427433,-49.268497,Paraná
10970,apartment,South,90.0,92055.17,-25.427263,-49.26947,Paraná
10971,apartment,South,127.0,184110.34,-25.451206,-49.283775,Paraná
10972,apartment,South,220.0,196592.39,-25.0896676,-50.1060931,Paraná
10973,apartment,South,110.0,85502.09,-25.0896676,-50.1060931,Paraná
10974,house,South,81.0,94690.99,-25.766428,-48.538731,Paraná
10975,apartment,South,60.0,90494.91,-25.473375,-49.227139,Paraná
